No	TMNo	EnNo	Name	INOUT	Mode	DateTime
542	1	12		0	1	2020/01/29 11:47:38
543	1	1		0	1	2020/01/29 11:53:16
544	1	9		0	1	2020/01/29 11:53:50
545	1	9		0	1	2020/01/29 11:53:53
546	1	4		0	1	2020/01/29 11:55:02
547	1	8		0	1	2020/01/29 12:17:46
548	1	8		0	1	2020/01/29 12:17:48
549	1	13		0	1	2020/01/29 12:26:16
550	1	14		0	1	2020/01/29 12:27:44
551	1	2		0	1	2020/01/29 12:27:59
552	1	2		0	1	2020/01/29 12:28:04
553	1	7		0	1	2020/01/29 12:28:33
554	1	10		0	1	2020/01/29 12:28:38
555	1	3		0	1	2020/01/29 12:29:29
556	1	3		0	1	2020/01/29 12:29:29
557	1	5		0	1	2020/01/29 12:29:34
558	1	6		0	1	2020/01/29 12:29:41
559	1	11		0	1	2020/01/29 12:35:57
560	1	11		0	1	2020/01/29 12:36:00
561	1	5		0	1	2020/01/29 16:00:06
562	1	12		0	1	2020/01/29 16:00:11
563	1	12		0	1	2020/01/29 16:00:15
564	1	9		0	1	2020/01/29 16:00:44
565	1	9		0	1	2020/01/29 16:00:47
566	1	6		0	1	2020/01/29 16:00:53
567	1	11		0	1	2020/01/29 16:01:01
568	1	11		0	1	2020/01/29 16:01:03
569	1	14		0	1	2020/01/29 16:01:06
570	1	3		0	1	2020/01/29 16:01:12
571	1	3		0	1	2020/01/29 16:01:12
572	1	8		0	1	2020/01/29 16:01:15
573	1	8		0	1	2020/01/29 16:01:15
574	1	7		0	1	2020/01/29 16:01:19
575	1	13		0	1	2020/01/29 16:01:22
576	1	2		0	1	2020/01/29 16:01:26
577	1	2		0	1	2020/01/29 16:01:28
578	1	4		0	1	2020/01/29 16:01:39
579	1	10		0	1	2020/01/29 16:01:42
580	1	1		0	1	2020/01/29 16:01:46
581	1	1		0	1	2020/01/29 16:01:49
582	1	2		0	1	2020/01/30 05:42:16
583	1	2		0	1	2020/01/30 05:42:20
584	1	3		0	1	2020/01/30 06:36:26
585	1	3		0	1	2020/01/30 06:36:29
586	1	9		0	1	2020/01/30 06:38:49
587	1	9		0	1	2020/01/30 06:38:53
588	1	1		0	1	2020/01/30 06:38:59
589	1	1		0	1	2020/01/30 06:38:59
590	1	12		0	1	2020/01/30 06:42:32
591	1	12		0	1	2020/01/30 06:42:39
592	1	11		0	1	2020/01/30 06:51:14
593	1	11		0	1	2020/01/30 06:51:14
594	1	7		0	1	2020/01/30 06:53:43
595	1	10		0	1	2020/01/30 06:53:47
596	1	13		0	1	2020/01/30 06:54:32
597	1	14		0	1	2020/01/30 06:54:48
598	1	8		0	1	2020/01/30 06:56:16
599	1	8		0	1	2020/01/30 06:56:19
600	1	5		0	1	2020/01/30 06:57:06
601	1	6		0	1	2020/01/30 06:57:12
602	1	4		0	1	2020/01/30 07:01:56
